transform_id,input_value,output_value
1,0,1
1,12,0
2,0,1
2,50,0
3,0,1
3,2,0.5
3,3,0
4,0,1
4,2,0.5
4,3,0
5,0,1
5,9,0
6,0,1
6,6,0
7,0,1
7,25,0
8,0,1
8,10,0
9,0,0.995
9,12,0.995
9,18,0.68
9,45,0.5
9,65,0.01
9,90,0.01
10,0,0.995
10,7,0.995
10,12,0.68
10,30,0.5
10,65,0.01
10,90,0.01
11,0,0.995
11,5,0.995
11,10,0.68
11,20,0.5
11,65,0.01
11,90,0.01
12,0,0.995
12,1,0.995
12,2.5,0.9
12,3,0.8
12,4,0.68
12,8,0.5
12,10,0.01
12,50,0.01
12,51,0
12,100,0
13,0,0.995
13,1.5,0.995
13,3,0.9
13,4,0.8
13,5,0.68
13,10,0.5
13,15,0.01
13,50,0.01
13,51,0
13,100,0
14,0,0.995
14,2,0.995
14,4,0.9
14,10,0.8
14,12,0.68
14,15,0.5
14,20,0.01
14,50,0.01
14,51,0
14,2500,0
15,0,0.995
15,10,0.995
15,25,0.68
15,50,0.5
15,100,0.01
15,1200,0.01
15,1600,0
15,100000,0
16,0,0.995
16,20,0.995
16,35,0.68
16,75,0.5
16,100,0.01
16,1200,0.01
16,1600,0
16,100000,0
17,0,0.995
17,30,0.995
17,50,0.68
17,75,0.5
17,100,0.01
17,1200,0.01
17,1600,0
17,100000,0
18,0,0
18,0.5,0
18,0.6,0.01
18,2,0.01
18,3,0.5
18,5,0.68
18,7,0.8
18,9,0.995
18,30,0.995
19,0,0
19,0.5,0
19,0.6,0.01
19,2,0.01
19,3,0.5
19,5,0.68
19,7,0.8
19,9,0.995
19,30,0.995
20,0,0
20,0.5,0
20,0.6,0.01
20,2,0.01
20,3,0.5
20,5,0.68
20,9,0.8
20,12,0.995
20,30,0.995
21,0,0.995
21,5,0.99
21,8,0.90
21,9,0.8
21,10,0.68
21,15,0.5
21,25,0.01
21,90,0.0122
22,0,0.995
22,3,0.995
22,5,0.9
22,6,0.8
22,7,0.68
22,9,0.5
22,18,0.01
22,90,0.01
23,0,0.995
23,2,0.995
23,3,0.9
23,4.5,0.8
23,6,0.68
23,8,0.5
23,12,0.01
23,90,0.01
24,25,0.995
24,11,0.995
24,9,0.9
24,8,0.8
24,7.5,0.68
24,5,0.5
24,2,0.01
24,0,0
25,25,0.995
25,9,0.995
25,8,0.9
25,8,0.8
25,7.5,0.68
25,5,0.5
25,2,0.01
25,0,0
26,25,0.995
26,9,0.995
26,8,0.9
26,7.7,0.8
26,7.5,0.68
26,5,0.5
26,2,0.01
26,0,0