zone_id,scenario_input_id,transform_id,min_value,max_value,zone_type
1,1,1,0.0,1.0,drainage_area
2,1,5,1.0,10.0,drainage_area
3,1,6,10.0,,drainage_area
4,2,2,0.0,1.0,drainage_area
5,2,7,1.0,10.0,drainage_area
6,2,8,10.0,,drainage_area
7,3,3,
8,4,4,
9,5,1,
10,6,2,
11,7,3,
12,8,4,
13,9,1,0.0,2.0,stream_order
14,9,5,2.0,4.0,stream_order
15,9,6,4.0,,stream_order
16,10,2,0.0,2.0,stream_order
17,10,7,2.0,4.0,stream_order
18,10,8,4.0,,stream_order
19,11,3,
20,12,9,0,2,stream_order
21,12,10,2,4,stream_order
22,12,11,4,,stream_order
23,13,12,0,2,stream_order
24,13,13,2,4,stream_order
25,13,14,4,,stream_order
26,14,15,0,2,stream_order
27,14,16,2,4,stream_order
28,14,17,4,,stream_order
29,15,18,0,2,stream_order
30,15,19,2,4,stream_order
31,15,20,4,,stream_order
32,16,21,0,2,stream_order
33,16,22,2,4,stream_order
34,16,23,4,,stream_order
35,17,12,0,2,stream_order
36,17,13,2,4,stream_order
37,17,14,4,,stream_order
38,18,24,0,2,stream_order
39,18,25,2,4,stream_order
40,18,26,4,,stream_order
41,19,27,0,2,stream_order
42,19,28,2,6,stream_order
43,19,29,4,,stream_order
44,20,30,0,2,stream_order
45,20,31,2,6,stream_order
46,20,32,4,,stream_order